130,699,2023-02-21 11:26:32,1
63,531,2023-02-21 13:02:56,1
208,856,2023-02-21 13:04:37,1
299,90,2023-02-21 13:04:52,1
236,889,2023-02-21 13:12:30,1
148,755,2023-02-21 13:30:41,1
296,962,2023-02-21 13:33:40,1
317,977,2023-02-21 13:34:11,1
214,864,2023-02-21 13:49:42,1
214,864,2023-02-21 13:49:54,1
214,864,2023-02-21 13:49:58,1
167,787,2023-02-21 13:55:33,1
43,385,2023-02-21 13:55:36,1
159,751,2023-02-21 13:55:40,1
228,870,2023-02-21 13:56:20,1
243,936,2023-02-21 14:00:01,1
208,856,2023-02-21 14:00:05,1
148,755,2023-02-21 14:00:16,1
248,940,2023-02-21 14:01:32,1
299,90,2023-02-21 14:02:38,1
236,889,2023-02-21 14:02:42,1
200,833,2023-02-21 14:03:45,1
281,81,2023-02-21 14:21:13,1
159,751,2023-02-21 14:21:17,1
63,531,2023-02-21 14:24:38,1
289,959,2023-02-21 14:27:06,1
296,962,2023-02-21 14:29:37,1
296,962,2023-02-21 14:29:40,1
317,977,2023-02-21 14:31:44,1
214,864,2023-02-21 14:32:23,1
305,925,2023-02-21 14:35:05,1
286,954,2023-02-21 14:35:36,1
42,580,2023-02-21 14:35:45,1
67,415,2023-02-21 14:49:13,1
167,787,2023-02-21 14:51:41,1
43,385,2023-02-21 14:51:44,1
248,940,2023-02-21 14:56:11,1
83,326,2023-02-21 14:57:52,1
161,729,2023-02-21 14:58:31,1
200,833,2023-02-21 14:59:38,1
47,577,2023-02-21 15:00:06,1
47,577,2023-02-21 15:00:12,1
228,870,2023-02-21 15:00:47,1
250,903,2023-02-21 15:00:51,1
24,472,2023-02-21 15:01:25,1
49,592,2023-02-21 15:01:28,1
114,679,2023-02-21 15:04:43,1
201,824,2023-02-21 15:05:13,1
322,97,2023-02-21 15:05:38,1
298,85,2023-02-21 15:05:59,1
316,95,2023-02-21 15:06:05,1
305,925,2023-02-21 15:06:14,1
308,5003,2023-02-21 15:07:12,1
289,959,2023-02-21 15:08:20,1
72,533,2023-02-21 15:08:44,1
281,81,2023-02-21 15:13:10,1
235,888,2023-02-21 15:13:51,1
318,980,2023-02-21 15:14:57,1
323,983,2023-02-21 15:15:42,1
72,533,2023-02-21 15:15:57,1
153,726,2023-02-21 15:16:53,1
192,810,2023-02-21 15:17:00,1
320,2035,2023-02-21 15:17:17,1
319,4026,2023-02-21 15:17:20,1
319,4026,2023-02-21 15:17:23,1
264,64,2023-02-21 15:22:15,0
286,954,2023-02-21 15:28:54,1
42,580,2023-02-21 15:32:03,1
67,415,2023-02-21 15:33:17,1
321,2009,2023-02-21 15:34:34,1
308,5003,2023-02-21 15:35:36,1
250,903,2023-02-21 15:39:41,1
298,85,2023-02-21 15:54:08,1
316,95,2023-02-21 15:54:29,1
322,97,2023-02-21 15:54:39,1
323,983,2023-02-21 15:54:57,1
323,983,2023-02-21 15:55:00,1
320,2035,2023-02-21 15:55:10,1
319,4026,2023-02-21 15:55:17,1
321,2009,2023-02-21 15:55:29,1
310,6009,2023-02-21 15:55:33,1
114,679,2023-02-21 15:55:40,1
161,729,2023-02-21 15:56:06,1
